pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,star_F,star_G,star_K,target,habitability_score,habitability_rank
0.79,195.89164,0.539915238,0.0935,811.0,1.338589,5254.0,0.00432,-0.07,False,True,False,0,0.8566750656575831,198
1.19,195.89164,0.974868926,0.0935,811.0,1.338589,5468.0,0.00432,-0.04,False,True,False,1,0.8556335865221456,199
1.03,195.89164,5.99273738,0.0616,811.0,1.338589,5731.0,0.00432,-0.24,False,True,False,1,0.8549772854929052,200
1.56,195.89164,4.72674037,0.0525,811.0,1.338589,5648.0,0.00432,-0.2,False,True,False,1,0.8545915651536643,201
1.0,195.89164,0.584216,0.0935,811.0,1.338589,5315.0,0.00432,-0.09,False,True,False,1,0.8542924892468943,202
0.72,195.89164,0.971915428,0.0935,811.0,1.338589,5316.0,0.00432,-0.04,False,True,False,0,0.8542343553386457,203
1.46,195.89164,4.97761996,0.0547,811.0,1.338589,5627.0,0.00432,-0.24,False,True,False,1,0.8539633684650966,204
1.02,195.89164,7.41086267,0.0697,811.0,1.338589,5516.0,0.00432,-0.2,False,True,False,1,0.8519194066351814,205
1.65,195.89164,0.675649486,0.0935,811.0,1.338589,5906.0,0.00432,0.1,False,True,False,1,0.8519043224086323,206
1.6,195.89164,0.663085361,0.0141,811.0,1.338589,5172.0,0.00432,0.07,False,False,True,1,0.8515084690034834,207
1.71,195.89164,0.626281378,0.0133,811.0,1.338589,4922.0,0.00432,0.2,False,False,True,1,0.8511302436734416,208
1.76,195.89164,0.626281766,0.0133,811.0,1.338589,4922.0,0.00432,0.2,False,False,True,1,0.8509219103401082,209
1.46,195.89164,2.685054445,0.0346,811.0,1.338589,5266.0,0.00432,-0.18,False,True,False,1,0.8488395982746572,210
1.34,195.89164,2.685057492,0.0346,811.0,1.338589,5266.0,0.00432,-0.18,False,True,False,1,0.8488395982746572,211
1.22,195.89164,1.19655156,0.0212,811.0,1.338589,5258.0,0.00432,0.04,False,True,False,1,0.8481533761615295,212
1.67,195.89164,6.84619236,0.0677,811.0,1.338589,5839.0,0.00432,-0.28,False,True,False,1,0.8476776612614064,213
1.8,195.89164,0.84742346,0.0935,811.0,1.338589,5464.0,0.00432,0.04,False,True,False,1,0.8474343553638151,214
